"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",5.35363456563957,0.217213311867234,24.6468990303496,5.09453476985048e-76
"2","data_combine[, 4]",4.77020964798345e-05,2.66316404583925e-06,17.911813038465,3.16519551421535e-50
"3","data_combine[, 9]",2.16133445330846,0.249172074469978,8.67406372847319,2.11545101781142e-16
"4","data_combine[, 10]",-7.58415319390198,1.01660077241106,-7.46030634613304,8.14701643999739e-13
"5","data_combine[, 13]",-2.64952257411489,0.72527665875547,-3.653119871059,0.000302467626194899
"6","data_combine[, 16]",-0.484097629293072,0.237399104260416,-2.03917209713664,0.0422515986096216
"7","data_combine[, 18]",-0.800929948260453,0.184554732111495,-4.3397963254423,1.91333335470952e-05
"8","data_combine[, 20]",-0.6406297943088,0.253186625981287,-2.53026711749044,0.0118753000519889
"9","data_combine[, 24]",1.16909909486947,0.372474610516311,3.13873499524948,0.00185430891242562
"10","data_combine[, 29]",-0.797340837709404,0.24351218115311,-3.27433656063419,0.00117467674098154
"11","data_combine[, 13]:data_combine[, 24]",1.84129741185993,0.563145450766851,3.26966578412839,0.00119360108456528
"12","data_combine[, 13]:data_combine[, 28]",2.05264395942605,0.686349914107414,2.99066688468298,0.00299904159971448
"13","data_combine[, 28]:data_combine[, 14]",1.1177099174251,0.303837476459755,3.67864402524797,0.000274859239773626
"14","data_combine[, 16]:data_combine[, 28]",-1.39343601535354,0.45925532326044,-3.03412055294421,0.00260939507169434
"15","data_combine[, 10]:data_combine[, 29]",7.32053794992932,1.3881282861676,5.27367536767091,2.46263506771026e-07
"16","data_combine[, 16]:data_combine[, 29]",1.23332931313963,0.422587146321836,2.91852065041359,0.00376532517842808
"17","data_combine[, 14]:data_combine[, 32]",1.18663918643671,0.358977665157386,3.30560728873329,0.00105498138484819
"18","data_combine[, 9]:data_combine[, 24]",-2.78393708044161,0.514523576722336,-5.41070848138019,1.22990059563425e-07
"19","data_combine[, 9]:data_combine[, 13]",2.21886124457068,0.705132707426892,3.14672858201055,0.00180584770067986
"20","data_combine[, 9]:data_combine[, 14]",-0.961328975040707,0.189953416543671,-5.06086698798437,7.04140426622117e-07
"21","data_combine[, 9]:data_combine[, 28]",-0.610212104509485,0.176690969226108,-3.45355570339651,0.000627479562118799
"22","data_combine[, 9]:data_combine[, 24]:data_combine[, 14]",2.16263284230648,0.560080469023957,3.86128951447863,0.000136411327059109
