"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",7.61825879126985,0.337815205547922,22.5515567865376,4.41841194058963e-68
"2","data_combine[, 9]",2.08792632348526,0.354518016582215,5.88947874529545,9.79864579567639e-09
"3","data_combine[, 10]",2.39452701511723,0.9496303181362,2.52153598025057,0.0121696138376061
"4","data_combine[, 11]",-1.35246110444072,0.389221988491442,-3.47478083055541,0.000581764191383418
"5","data_combine[, 13]",-3.59534934479087,0.876618073679591,-4.101386285249,5.21400487256682e-05
"6","data_combine[, 14]",0.232451229288824,0.545971242798159,0.425757276331053,0.670570929099739
"7","data_combine[, 16]",0.596156830730748,0.205227746120081,2.90485493312357,0.00393001727755048
"8","data_combine[, 17]",3.20059170920311,0.862585950753812,3.71046120842349,0.00024388345918788
"9","data_combine[, 18]",0.201435171973023,0.375896332314738,0.535879588748851,0.592414041057983
"10","data_combine[, 20]",-0.903438307396814,0.280775425885636,-3.21765448150295,0.00142475440940114
"11","data_combine[, 21]",-2.32343866501618,0.949630318136202,-2.44667700750782,0.0149556963107173
"12","data_combine[, 22]",0.714400172455254,0.386269182281317,1.84948788364629,0.0653093619633196
"13","data_combine[, 24]",1.33650707074111,0.490784128898526,2.72320760196678,0.00681985950512248
"14","data_combine[, 25]",1.41112244041434,0.714729035710372,1.97434603872196,0.0492019838514698
"15","data_combine[, 27]",1.12217337611527,0.365547352355425,3.06984408144247,0.00232508770787106
"16","data_combine[, 28]",1.48670367736261,0.455614003619536,3.26307722227979,0.00122115918238633
"17","data_combine[, 29]",-0.525605575351067,0.290802044078512,-1.8074342531415,0.0716335685887722
"18","data_combine[, 32]",-0.175192011243629,0.245920795700494,-0.712392015260861,0.476741149345315
"19","data_combine[, 13]:data_combine[, 24]",3.2073216554603,0.717606682621566,4.46947016120765,1.08970759615439e-05
"20","data_combine[, 14]:data_combine[, 24]",0.845735001666549,0.931911671951485,0.907526997591439,0.364811084737865
"21","data_combine[, 18]:data_combine[, 24]",4.37725757147843,0.937672449831955,4.66821604096708,4.47562778050315e-06
"22","data_combine[, 14]:data_combine[, 27]",-1.35428431083756,0.501262360938115,-2.7017474607569,0.00726528009781281
"23","data_combine[, 18]:data_combine[, 27]",-1.24767384998261,0.539416008241305,-2.31300857023225,0.0213559835938744
"24","data_combine[, 10]:data_combine[, 29]",-2.41479711615066,1.36347537636381,-1.77106030516707,0.0775025106133641
"25","data_combine[, 14]:data_combine[, 29]",0.837937254030511,0.398975906643247,2.10022018893429,0.0364918978242114
"26","data_combine[, 20]:data_combine[, 32]",1.4333210466702,1.00600269144929,1.42476860037551,0.155198630537596
"27","data_combine[, 9]:data_combine[, 24]",-4.56770121057911,0.736788006792966,-6.19947823317735,1.74543761728833e-09
"28","data_combine[, 9]:data_combine[, 13]",3.25547057071938,0.855207300968558,3.80664497021064,0.000168797673011841
"29","data_combine[, 9]:data_combine[, 14]",0.122427695517623,0.576085896044167,0.212516390972773,0.831839499711897
"30","data_combine[, 9]:data_combine[, 28]",-1.07004758378099,0.478387932241411,-2.23677796128229,0.025989375008938
"31","data_combine[, 9]:data_combine[, 14]:data_combine[, 24]",2.69434696188687,1.17140466514167,2.30009922451609,0.0220857280463034
