"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",3.45569915551263,0.00124232333580759,2781.64231155345,0
"2","data_combine[, 9]",0.0184014636461548,0.0013273950428272,13.8628389081232,1.42967302607017e-43
"3","data_combine[, 10]",0.0173925458449242,0.00178744789675369,9.73037920518521,2.40617949287621e-22
"4","data_combine[, 12]",-0.00447447178478413,0.00209793363542807,-2.13279948861259,0.0329489028518623
"5","data_combine[, 13]",0.758439742623868,0.00338667643346489,223.948097057478,0
"6","data_combine[, 14]",0.0596205816833633,0.00363059964101913,16.4216899626607,2.38796326843674e-60
"7","data_combine[, 15]",0.0160179331924547,0.00224985640576384,7.11953578522562,1.10612612408613e-12
"8","data_combine[, 16]",0.123958255486392,0.00136441528673267,90.8508257652493,0
"9","data_combine[, 17]",0.527634085385445,0.00206597384431981,255.392432404758,0
"10","data_combine[, 18]",0.329058120531209,0.00229695352242368,143.258501889057,0
"11","data_combine[, 22]",-0.0162353938292352,0.00179554826135339,-9.04202586957915,1.62386656142467e-19
"12","data_combine[, 24]",0.478248975225189,0.00172272836953875,277.611365599811,0
"13","data_combine[, 25]",-0.399767685621299,0.0026378476260986,-151.550711900884,0
"14","data_combine[, 28]",0.411101470092089,0.00157742854010208,260.614956329804,0
"15","data_combine[, 29]",0.116699779353558,0.00103429070756946,112.830733660749,0
"16","data_combine[, 30]",-0.134383243105284,0.0026713945160151,-50.3045290763504,0
"17","data_combine[, 33]",0.0225740578479332,0.00181675401134089,12.4254894757447,2.30152475920436e-35
"18","data_combine[, 13]:data_combine[, 22]",-0.565646726659739,0.0134441374678624,-42.073857695363,0
"19","data_combine[, 14]:data_combine[, 25]",0.311173235688617,0.00411994295483225,75.528530152012,0
"20","data_combine[, 15]:data_combine[, 25]",0.346401788529426,0.00368302438328932,94.0536234571583,0
"21","data_combine[, 18]:data_combine[, 25]",0.228722681687487,0.0040475720900105,56.5086122250868,0
"22","data_combine[, 15]:data_combine[, 28]",-0.33302094121124,0.00335344507133605,-99.3071107851965,0
"23","data_combine[, 18]:data_combine[, 28]",-0.448180279541518,0.00290149952032309,-154.465053811765,0
"24","data_combine[, 10]:data_combine[, 29]",0.435644955056734,0.00577074376397831,75.4919942514314,0
"25","data_combine[, 16]:data_combine[, 29]",0.0566212287492031,0.00348918076770346,16.2276570114396,5.58703993983921e-59
"26","data_combine[, 15]:data_combine[, 30]",0.231288910999736,0.0100029440238644,23.122083903293,2.65079970487459e-117
"27","data_combine[, 10]:data_combine[, 33]",0.588702473039701,0.00544362376560471,108.145327154935,0
"28","data_combine[, 9]:data_combine[, 25]",0.171817837493124,0.00318387450201188,53.9650157016404,0
"29","data_combine[, 9]:data_combine[, 14]",-0.077286878759296,0.00372568764262075,-20.7443259266175,5.97715827676103e-95
"30","data_combine[, 9]:data_combine[, 15]",0.138765840428087,0.00246102937206387,56.3852841429986,0
