"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",3.45315269668023,0.0884675937502224,39.0329673307244,6.41762622543351e-124
"2","data_combine[, 9]",0.124769895627879,0.0812003286980806,1.53656884926905,0.125383992170551
"3","data_combine[, 10]",0.804104042365769,0.295351175116684,2.72253544292855,0.00683230834977424
"4","data_combine[, 12]",0.382890577289474,0.175599859188828,2.18047200640257,0.0299483379576127
"5","data_combine[, 13]",-0.140772566454955,0.0680490954331022,-2.06869122299129,0.039375376446461
"6","data_combine[, 14]",-0.321254592337149,0.171390691143613,-1.87439930484883,0.061783445708595
"7","data_combine[, 15]",-0.164618655320395,0.0606265335221634,-2.71529057916885,0.00698009686114892
"8","data_combine[, 16]",0.0963667777303698,0.0802201606663453,1.20127879238714,0.230528662199908
"9","data_combine[, 17]",0.515047151394683,0.235203061065535,2.18979782431987,0.029258278848467
"10","data_combine[, 18]",0.243605062221742,0.111631986807572,2.18221559239701,0.0298182640577499
"11","data_combine[, 20]",-0.134006680479053,0.0906567783253348,-1.47817607193309,0.14034118191334
"12","data_combine[, 22]",0.227683299536167,0.122164902148037,1.86373741993641,0.0632714452928417
"13","data_combine[, 23]",0.453114877322367,0.178308915174243,2.54117903683942,0.0115182127940036
"14","data_combine[, 24]",0.0189993735032756,0.115255827807117,0.164845230516858,0.869169560203876
"15","data_combine[, 27]",0.452155682381291,0.112061314774597,4.0348953899994,6.83363862591381e-05
"16","data_combine[, 28]",0.195076830023306,0.0483828051679324,4.0319454266079,6.91579366711527e-05
"17","data_combine[, 29]",-0.195423806214756,0.0914209155466032,-2.13762687724491,0.0333021652844608
"18","data_combine[, 32]",0.224762723014913,0.122995716865364,1.8274028457507,0.0685674928208662
"19","data_combine[, 14]:data_combine[, 24]",0.544212526018217,0.278148978578923,1.95655051044453,0.0512670697065196
"20","data_combine[, 16]:data_combine[, 24]",-0.702816208837383,0.315559153625893,-2.22720906924031,0.0266264436642604
"21","data_combine[, 14]:data_combine[, 27]",-0.380849400571248,0.156663546452204,-2.43100203714232,0.0156042674024675
"22","data_combine[, 18]:data_combine[, 27]",-0.53930319527817,0.157956627112824,-3.41424861454507,0.000721646716601048
"23","data_combine[, 13]:data_combine[, 28]",-0.587704418153034,0.216898110775706,-2.70958753882729,0.00709845600534403
"24","data_combine[, 10]:data_combine[, 29]",-0.819306998472648,0.421365402099402,-1.94440975550093,0.0527193300457291
"25","data_combine[, 14]:data_combine[, 29]",0.286963484780552,0.128468205287591,2.23373156134743,0.0261892662290529
"26","data_combine[, 14]:data_combine[, 32]",-0.290888666383821,0.169207790822944,-1.71912099891548,0.0865563792940029
"27","data_combine[, 16]:data_combine[, 32]",-0.310914208740986,0.181501539366693,-1.71301141481141,0.08767600778655
"28","data_combine[, 9]:data_combine[, 24]",-0.100100776808205,0.151167751687123,-0.66218340678498,0.508328799333818
"29","data_combine[, 9]:data_combine[, 14]",0.378990639879322,0.175974948204576,2.15366246017435,0.032010912190593
"30","data_combine[, 9]:data_combine[, 14]:data_combine[, 24]",-0.580085685445743,0.326337628199817,-1.7775629756387,0.0764223670376666
