"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",8.61057593951835,0.20500117165177,42.0025694006515,4.08392012052023e-135
"2","data_combine[, 9]",1.06313264895427,0.197094129049001,5.39403509421608,1.3092766175977e-07
"3","data_combine[, 13]",1.21556008370656,0.456383367424937,2.6634627168057,0.0081100376548081
"4","data_combine[, 15]",0.31127848078173,0.140139331971485,2.22120711154145,0.0270090976822808
"5","data_combine[, 16]",0.619077356353432,0.179324366966097,3.45227682566125,0.000627567552987063
"6","data_combine[, 17]",3.21293613353326,0.821502737358312,3.91104738599536,0.000111395986181015
"7","data_combine[, 21]",-2.29096213873369,0.900569667883223,-2.54390328748088,0.0114135555953989
"8","data_combine[, 22]",-1.75657288552795,0.245478331913839,-7.15571460761146,5.33734785102168e-12
"9","data_combine[, 23]",0.723956173115064,0.361430031435466,2.00303270383974,0.0459838877215918
"10","data_combine[, 25]",-3.21106203788568,0.524403929503024,-6.12326082477833,2.58104927670513e-09
"11","data_combine[, 29]",0.452490532617686,0.126512049258895,3.57665957723685,0.000399588095399362
"12","data_combine[, 30]",-0.585521097220632,0.25828358115423,-2.26696987320691,0.0240328833014874
"13","data_combine[, 25]:data_combine[, 10]",3.87182749190883,0.71397966763665,5.42288200548483,1.12915071868188e-07
"14","data_combine[, 25]:data_combine[, 14]",3.05731056213347,0.592407226872263,5.1608259039566,4.23451398006627e-07
"15","data_combine[, 15]:data_combine[, 25]",3.86214018615541,0.637696228627885,6.05639489897169,3.75823251256853e-09
"16","data_combine[, 25]:data_combine[, 18]",4.59103716778158,0.821502737358312,5.5885841385567,4.76833528515712e-08
"17","data_combine[, 25]:data_combine[, 19]",2.86896148734987,0.759536923399639,3.77725084714589,0.000187783349277456
"18","data_combine[, 15]:data_combine[, 30]",0.973929746207282,0.36338623736976,2.68015033606314,0.007724827824126
