"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.87474579913104,0.0513634093310263,55.9687496716566,8.03751123115444e-171
"2","data_combine[, 1]",0.00830743695046032,0.00118077298971657,7.03559195781946,1.14596542609305e-11
"3","data_combine[, 4]",7.01370382542172e-06,7.46358106039434e-07,9.39723675360089,9.49494739197903e-19
"4","data_combine[, 9]",-0.123011624582083,0.0427816879993288,-2.87533359095165,0.00429738869803053
"5","data_combine[, 10]",-0.766772813733547,0.208414881071486,-3.67906941093398,0.000273138667076861
"6","data_combine[, 14]",-0.436184921968683,0.18978574244067,-2.29830184480291,0.0221675327402438
"7","data_combine[, 17]",-0.299113272032868,0.134228922837363,-2.22838167594689,0.0265263966953963
"8","data_combine[, 22]",-0.18878427934539,0.0718298834674628,-2.62821363800353,0.00898343103367469
"9","data_combine[, 27]",0.156191875264329,0.0313485122392436,4.98243342689801,1.0137207370423e-06
"10","data_combine[, 28]",-0.32953274325165,0.0805012877737949,-4.09350896569037,5.34432814390589e-05
"11","data_combine[, 14]:data_combine[, 24]",0.499773375079236,0.227608236865683,2.19576137472637,0.0288025756687665
"12","data_combine[, 24]:data_combine[, 16]",-0.388953103915109,0.186490675936113,-2.08564370289673,0.0377764618374384
"13","data_combine[, 24]:data_combine[, 18]",-0.562124333140709,0.1351682872721,-4.15869982882247,4.08223557183735e-05
"14","data_combine[, 14]:data_combine[, 28]",0.736393770845321,0.228816315057162,3.21827475746805,0.00141726286637019
"15","data_combine[, 10]:data_combine[, 29]",0.72783350297819,0.279213434377639,2.60672809172136,0.0095546930492459
"16","data_combine[, 16]:data_combine[, 32]",-0.242547457164283,0.0772772602962293,-3.13866532320786,0.00184986161821136
"17","data_combine[, 9]:data_combine[, 14]",0.40974762659612,0.192160784846557,2.13231657501456,0.0337165508384898
"18","data_combine[, 9]:data_combine[, 28]",0.323299441800935,0.0860682166327208,3.75631626225685,0.000203696866623163
"19","data_combine[, 9]:data_combine[, 14]:data_combine[, 24]",-0.553814317554914,0.244293676749424,-2.26700226106536,0.024034769341494
"20","data_combine[, 9]:data_combine[, 14]:data_combine[, 28]",-0.780200882197471,0.238097226584204,-3.27681633839422,0.00116116830865787
