"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",3.15455136791479,0.0279318409134001,112.937467233011,5.04463277313159e-264
"2","data_combine[, 14]",-0.833845733807495,0.346189128674565,-2.40864216909408,0.0165646811118225
"3","data_combine[, 15]",-0.446501166812539,0.270657690836493,-1.64968955965222,0.0999666613865023
"4","data_combine[, 16]",0.205508780428164,0.0555715645071115,3.69809240122914,0.000254696200367914
"5","data_combine[, 18]",0.229159585751294,0.0947519397243674,2.41852131384241,0.0161294978140132
"6","data_combine[, 23]",0.353511918361351,0.107923557378707,3.27557696343224,0.00116751992105365
"7","data_combine[, 24]",0.346550541399737,0.160848480173606,2.15451548578948,0.0319297650189281
"8","data_combine[, 25]",0.733969175080151,0.329716691734278,2.22606011002823,0.0266913292911671
"9","data_combine[, 28]",0.37381233079773,0.100424174235492,3.72233412565734,0.000232341466840057
"10","data_combine[, 29]",-0.268155758398264,0.105516899140654,-2.54135366545231,0.0115038806186109
"11","data_combine[, 25]:data_combine[, 10]",-0.592683676990612,0.35722840594365,-1.65911687628811,0.0980509960550434
"12","data_combine[, 16]:data_combine[, 25]",-0.835437881094672,0.283054562338925,-2.95150826819859,0.00339077967446427
"13","data_combine[, 25]:data_combine[, 19]",-0.710466712646997,0.365584122333543,-1.94337409434537,0.0528287478738952
"14","data_combine[, 15]:data_combine[, 28]",-0.310711946943195,0.137536780084951,-2.25911895531712,0.0245341123404029
"15","data_combine[, 18]:data_combine[, 28]",-0.335959990412006,0.143657722469563,-2.33861420490769,0.0199574945649593
"16","data_combine[, 15]:data_combine[, 29]",0.717105978446128,0.328279880336533,2.18443475034472,0.0296401098796121
"17","data_combine[, 10]:data_combine[, 30]",-0.628822723606535,0.270657690836496,-2.32331370914713,0.0207752096509949
"18","data_combine[, 10]:data_combine[, 33]",0.521749303992288,0.192400329191188,2.71179007949527,0.00704584224363721
"19","data_combine[, 16]:data_combine[, 33]",-0.315537710619535,0.121108639171395,-2.60541042140668,0.0095958794233635
"20","data_combine[, 25]:data_combine[, 9]",-0.732862798020179,0.337447122964198,-2.17178558697605,0.0305902160152567
"21","data_combine[, 14]:data_combine[, 9]",0.791394845703364,0.348241246767904,2.27254770377851,0.0237021551197066
"22","data_combine[, 15]:data_combine[, 9]",0.616623776373232,0.272376881340751,2.26386238559585,0.0242373815316066
"23","data_combine[, 29]:data_combine[, 9]",0.43918710200633,0.108891780931212,4.03324381556188,6.85222714049698e-05
"24","data_combine[, 15]:data_combine[, 29]:data_combine[, 9]",-0.920065626095017,0.340947651511566,-2.69855393347329,0.00732575918843742
