"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",31.6312006812145,0.747290561850005,42.3278471534657,4.68700935094582e-136
"2","data_combine[, 13]",39.2021326521188,11.1875222667656,3.50409426835962,0.000520799049867966
"3","data_combine[, 16]",7.24039943296017,2.03271421436493,3.56193673552003,0.000421804366911021
"4","data_combine[, 17]",23.6187993187854,10.6897343841191,2.20948420887557,0.0278210917564453
"5","data_combine[, 18]",13.2354659854521,4.14998154676215,3.1892830935064,0.00156176917020081
"6","data_combine[, 23]",10.6283998858252,5.17616760765033,2.05333379663297,0.0408209485556411
"7","data_combine[, 24]",21.6741026082757,9.56061189818639,2.26702044169235,0.0240297592757845
"8","data_combine[, 28]",17.3687993187854,4.78733194287351,3.62807499585251,0.000330320143051253
"9","data_combine[, 29]",4.55927710313789,1.41634984063193,3.219033159988,0.00141284843310104
"10","data_combine[, 30]",-5.53017130829389,2.41500782432411,-2.28991858850048,0.0226510018822762
"11","data_combine[, 13]:data_combine[, 22]",-32.3333333333333,15.330810319964,-2.10904268323172,0.0356871209008605
"12","data_combine[, 16]:data_combine[, 25]",-20.8716001141747,5.30215095059385,-3.93644019354769,0.000100717794177377
"13","data_combine[, 28]:data_combine[, 15]",-14.6313633771763,6.16672922243502,-2.37262945224615,0.0182295516430472
"14","data_combine[, 18]:data_combine[, 28]",-19.0251211578658,6.66177327560818,-2.85586440287987,0.00456138452241236
"15","data_combine[, 29]:data_combine[, 10]",20.8095222156475,9.07191404562759,2.29384031980297,0.022421922953061
"16","data_combine[, 30]:data_combine[, 15]",9.10010724990298,4.07903673280742,2.23094515837806,0.0263502907532903
"17","data_combine[, 10]:data_combine[, 33]",28.8687993187854,11.7007513362181,2.46726030570583,0.0141177010754718
"18","data_combine[, 15]:data_combine[, 9]",6.36136337717632,1.81905408934454,3.49707214009699,0.000534198771002887
