InputID,TargetID,Distance
Fysik,Mistra Urban Futures,399.107908
Fysik,SB3,329.0831047
Fysik,SGI,216.0964203
Fysik,Stiftelsen,359.3881636
Fysik,Teknikparken,646.4267777
Fysik,Vasa 11 V3,261.4639956
Fysik,Vasa 15,235.5552355
Fysik,Vasa 2-3,347.0088856
Fysik,Vasa 7,232.3467954
GMV,Transport Central,663.5327934
GMV,ACE,664.314437
GMV,Akademiska hus,461.0446093
GMV,Biblioteket,421.9452362
GMV,CFAB,15.73748234
GMV,Chalmers verksamhetsstod,382.5394725
GMV,E-huset,644.6945709
GMV,Fysik,335.8666136
GMV,Karen/Cremona,480.9512202
GMV,Kemi,316.9172792
GMV,Maskin,576.5938031
GMV,Mattematiska Vetenskaper,413.9612208
GMV,Mistra Urban Futures,78.60919279
GMV,SB3,662.3265982
GMV,SGI,135.9898823
GMV,Stiftelsen,120.577715
GMV,Teknikparken,979.9770019
GMV,Vasa 11 V3,160.4626679
GMV,Vasa 15,244.5517779
GMV,Vasa 2-3,61.61691476
GMV,Vasa 7,104.9251588
Karen/Cremona,Transport Central,370.0739837
Karen/Cremona,ACE,355.3658753
Karen/Cremona,Akademiska hus,206.6705738
Karen/Cremona,Biblioteket,299.2225039
Karen/Cremona,CFAB,470.1157433
Karen/Cremona,Chalmers verksamhetsstod,100.5314322
Karen/Cremona,E-huset,293.2546061
Karen/Cremona,Fysik,154.2365018
Karen/Cremona,GMV,480.9512202
Karen/Cremona,Kemi,287.7476643
Karen/Cremona,Maskin,272.4074699
Karen/Cremona,Mattematiska Vetenskaper,221.814491
Karen/Cremona,Mistra Urban Futures,548.6924348
Karen/Cremona,SB3,219.1170823
Karen/Cremona,SGI,368.915129
Karen/Cremona,Stiftelsen,513.3199389
Karen/Cremona,Teknikparken,522.4217784
Karen/Cremona,Vasa 11 V3,415.481018
Karen/Cremona,Vasa 15,382.4326869
Karen/Cremona,Vasa 2-3,498.1892064
Karen/Cremona,Vasa 7,376.0282506
Kemi,Transport Central,347.0390727
Kemi,ACE,348.8755884
Kemi,Akademiska hus,158.8271571
Kemi,Biblioteket,106.4884515
Kemi,CFAB,301.459867
Kemi,Chalmers verksamhetsstod,205.647376
Kemi,E-huset,337.1372868
Kemi,Fysik,157.7940573
Kemi,GMV,316.9172792
Kemi,Karen/Cremona,287.7476643
Kemi,Maskin,265.1950017
Kemi,Mattematiska Vetenskaper,108.9359951
Kemi,Mistra Urban Futures,353.912369
Kemi,SB3,389.8054772
Kemi,SGI,182.0700478
Kemi,Stiftelsen,284.387258
Kemi,Teknikparken,697.2694562
Kemi,Vasa 11 V3,177.7951359
Kemi,Vasa 15,108.6502311
Kemi,Vasa 2-3,298.8127795
Kemi,Vasa 7,239.4873405
Maskin,Transport Central,102.7615887
Maskin,ACE,94.32784662
Maskin,Akademiska hus,118.2586229
Maskin,Biblioteket,176.8274248
Maskin,CFAB,561.627994
Maskin,Chalmers verksamhetsstod,282.7142922
Maskin,E-huset,74.30776095
Maskin,Fysik,287.4521464
Maskin,GMV,576.5938031
Maskin,Karen/Cremona,272.4074699
Maskin,Kemi,265.1950017
Maskin,Mattematiska Vetenskaper,162.7176102
Maskin,Mistra Urban Futures,618.7440505
Maskin,SB3,187.6610571
Maskin,SGI,440.6728854
Maskin,Stiftelsen,548.7142527
Maskin,Teknikparken,449.1593768
Maskin,Vasa 11 V3,442.7872551
Maskin,Vasa 15,366.807895
Maskin,Vasa 2-3,563.4999749
Maskin,Vasa 7,486.8172987
Mattematiska Vetenskaper,Transport Central,254.9430241
Mattematiska Vetenskaper,ACE,252.7919943
Mattematiska Vetenskaper,Akademiska hus,49.93201167
Mattematiska Vetenskaper,Biblioteket,77.54419328
Mattematiska Vetenskaper,CFAB,399.0583387
Mattematiska Vetenskaper,Chalmers verksamhetsstod,172.9021286
Mattematiska Vetenskaper,E-huset,231.5669706
Mattematiska Vetenskaper,Fysik,150.9323538
Mattematiska Vetenskaper,GMV,413.9612208
Mattematiska Vetenskaper,Karen/Cremona,221.814491
Mattematiska Vetenskaper,Kemi,108.9359951
Mattematiska Vetenskaper,Maskin,162.7176102
Mattematiska Vetenskaper,Mistra Urban Futures,458.1368377
Mattematiska Vetenskaper,SB3,283.0945449
Mattematiska Vetenskaper,SGI,278.1222092
Mattematiska Vetenskaper,Stiftelsen,392.3735439
Mattematiska Vetenskaper,Teknikparken,588.355503
Mattematiska Vetenskaper,Vasa 11 V3,285.2980363
Mattematiska Vetenskaper,Vasa 15,216.8838019
Mattematiska Vetenskaper,Vasa 2-3,402.7998753
Mattematiska Vetenskaper,Vasa 7,324.7889853
Mistra Urban Futures,Transport Central,699.3325979
Mistra Urban Futures,ACE,702.3068118
Mistra Urban Futures,Akademiska hus,507.0833739
Mistra Urban Futures,Biblioteket,453.9241374
Mistra Urban Futures,CFAB,83.16619616
Mistra Urban Futures,Chalmers verksamhetsstod,448.8446789
Mistra Urban Futures,E-huset,689.5584616
Mistra Urban Futures,Fysik,399.107908
Mistra Urban Futures,GMV,78.60919279
Mistra Urban Futures,Karen/Cremona,548.6924348
Mistra Urban Futures,Kemi,353.912369
Mistra Urban Futures,Maskin,618.7440505
